Sample Time,Time_x,Temperature 1,Calibrated Temperature 1,Temperature 1 Stable,Temperature 2,Calibrated Temperature 2,Temperature 2 Stable,salinity,Calibrated Salinity,Salinity Stable,pH,Calibrated pH,pH Stable,elapsed,Time_y,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-06-10 12:07:00-07:00,1785023137.0,330.0,20.625,1.0,5208.0,20.502,1.0,,,,,,,2763.414,1785025667.12,6.166666666666667,495.4166666666667,47.625,-11.833333333333334,-28.125,31.333333333333332,90.58333333333333,-29.25,388.1666666666667,33.19184,-117.38376
2018-06-10 12:07:06-07:00,1785029157.0,330.0,20.625,1.0,5219.0,20.545,0.0,,,,,,,2769.461,1785031526.2083333,-89.65217391304348,484.8695652173913,40.47826086956522,3.260869565217391,-50.56521739130435,2.391304347826087,151.17391304347825,-45.34782608695652,416.4782608695652,33.19184,-117.38376
2018-06-10 12:07:12-07:00,1785035176.0,330.0,20.625,1.0,5218.0,20.541,0.0,,,,,,,2775.507,1785037365.36,-182.58333333333334,458.125,47.625,-3.125,42.208333333333336,9.791666666666666,181.0,-61.416666666666664,388.5,33.19184,-117.38376
2018-06-10 12:07:18-07:00,1785041196.0,331.0,20.688000000000002,0.0,5217.0,20.538,0.0,,,,,,,2781.553,1785043344.04,-26.0,495.7916666666667,28.291666666666668,-18.958333333333332,-65.29166666666667,13.333333333333334,129.875,-42.708333333333336,421.0416666666667,33.19184,-117.38376
2018-06-10 12:07:24-07:00,1785047217.0,331.0,20.688000000000002,0.0,5215.0,20.53,0.0,,,,,,,2787.601,1785049323.04,-69.20833333333333,493.25,53.291666666666664,15.375,-20.125,6.916666666666667,232.95833333333334,-46.708333333333336,446.625,33.19184,-117.38376
2018-06-10 12:07:30-07:00,1785053237.0,331.0,20.688000000000002,1.0,5215.0,20.53,0.0,,,,,,,2793.648,1785055302.32,-74.5,481.25,51.583333333333336,-8.791666666666666,-38.625,10.416666666666666,229.16666666666666,-49.833333333333336,450.8333333333333,33.19184,-117.38376
2018-06-10 12:07:36-07:00,1785059257.0,331.0,20.688000000000002,1.0,5222.0,20.557,0.0,,,,,,,2799.695,1785061395.3461537,-72.66666666666667,486.125,75.95833333333333,-26.5,55.291666666666664,10.166666666666666,243.5,-48.0,451.0833333333333,33.19184,-117.38376
2018-06-10 12:07:42-07:00,1785065277.0,331.0,20.688000000000002,1.0,5222.0,20.557,0.0,,,,,,,2805.741,1785067479.16,-74.16666666666667,503.25,25.875,-25.916666666666668,64.91666666666667,25.833333333333332,111.83333333333333,-42.416666666666664,343.6666666666667,33.19184,-117.38376
2018-06-10 12:07:48-07:00,1785071296.0,331.0,20.688000000000002,1.0,5216.0,20.534000000000002,0.0,,,,,,,2811.787,1785073458.6,-35.125,495.9583333333333,37.791666666666664,-5.833333333333333,-64.0,24.416666666666668,92.58333333333333,-33.5,328.25,33.19184,-117.38376
2018-06-10 12:07:54-07:00,1785077317.0,332.0,20.75,1.0,5214.0,20.526,1.0,,,,,,,2817.835,1785079437.88,-101.79166666666667,487.875,28.041666666666668,6.75,-88.5,-4.375,146.70833333333334,-49.875,393.875,33.19184,-117.38376
2018-06-10 12:08:00-07:00,1785083336.0,331.0,20.688000000000002,1.0,5220.0,20.549,1.0,,,,,,,2823.881,1785085415.8,27.458333333333332,494.5833333333333,10.416666666666666,-23.958333333333332,-144.41666666666666,27.958333333333332,286.0,-47.25,402.8333333333333,33.19184,-117.38376
2018-06-10 12:08:06-07:00,1785089356.0,331.0,20.688000000000002,0.0,5219.0,20.545,0.0,,,,,,,2829.927,1785091275.8333333,117.95652173913044,551.5652173913044,-30.52173913043478,-9.217391304347826,-83.78260869565217,-6.434782608695652,316.30434782608694,-41.69565217391305,302.9130434782609,33.19184,-117.38376
2018-06-10 12:08:18-07:00,1785101396.0,332.0,20.75,0.0,5232.0,20.596,0.0,,,,,,,2842.021,1785103094.8,-28.541666666666668,486.75,82.29166666666667,-1.625,-25.208333333333332,17.708333333333332,124.625,-43.375,416.2916666666667,33.19184,-117.38376
2018-06-10 12:08:24-07:00,1785107416.0,332.0,20.75,0.0,5238.0,20.62,0.0,,,,,,,2848.068,1785109073.4,12.166666666666666,487.0,80.45833333333333,-20.958333333333332,-9.458333333333334,22.208333333333332,121.125,-38.541666666666664,429.2916666666667,33.19184,-117.38376
2018-06-10 12:08:30-07:00,1785113438.0,333.0,20.811999999999998,0.0,5248.0,20.659000000000002,0.0,,,,,,,2854.116,1785115052.0,22.083333333333332,478.2916666666667,62.666666666666664,-24.25,14.5,1.5833333333333333,140.125,-43.291666666666664,434.2083333333333,33.19184,-117.38376
2018-06-10 12:08:36-07:00,1785119458.0,333.0,20.811999999999998,0.0,5242.0,20.636,0.0,,,,,,,2860.163,1785121146.1923077,19.083333333333332,494.5,9.833333333333334,-8.958333333333334,-17.958333333333332,19.125,125.45833333333333,-31.958333333333332,454.2083333333333,33.19184,-117.38376
2018-06-10 12:08:42-07:00,1785125477.0,333.0,20.811999999999998,0.0,5227.0,20.576999999999998,0.0,,,,,,,2866.209,1785127229.08,17.875,494.7083333333333,32.083333333333336,-14.458333333333334,-25.833333333333332,14.875,145.95833333333334,-39.958333333333336,460.0416666666667,33.19184,-117.38376
2018-06-10 12:08:48-07:00,1785131497.0,332.0,20.75,1.0,5196.0,20.455,1.0,,,,,,,2872.256,1785133208.64,-25.583333333333332,492.2916666666667,50.083333333333336,-18.458333333333332,28.375,3.75,153.20833333333334,-40.958333333333336,446.5416666666667,33.19184,-117.38376
2018-06-10 12:08:54-07:00,1785137516.0,332.0,20.75,0.0,5194.0,20.447,0.0,,,,,,,2878.301,1785139169.04,-75.83333333333333,496.7083333333333,-10.291666666666666,-5.583333333333333,-62.5,2.0416666666666665,171.33333333333334,-38.666666666666664,466.1666666666667,33.19184,-117.38376
2018-06-10 12:09:00-07:00,1785143535.0,331.0,20.688000000000002,0.0,5191.0,20.436,0.0,,,,,,,2884.347,1785145027.0833333,-54.95652173913044,505.5652173913044,-18.347826086956523,-18.52173913043478,21.782608695652176,25.869565217391305,215.3913043478261,-29.82608695652174,485.5652173913044,33.19184,-117.38376
2018-06-10 12:09:06-07:00,1785149555.0,331.0,20.688000000000002,1.0,5195.0,20.451,0.0,,,,,,,2890.394,1785150867.12,-97.16666666666667,481.875,46.708333333333336,-26.375,-20.708333333333332,4.083333333333333,278.4166666666667,-39.833333333333336,449.1666666666667,33.19184,-117.38376
2018-06-10 12:09:12-07:00,1785155575.0,331.0,20.688000000000002,1.0,5192.0,20.44,0.0,,,,,,,2896.44,1785156845.52,-51.666666666666664,490.0,-8.375,-5.625,-59.833333333333336,17.5,154.83333333333334,-33.666666666666664,430.5,33.19184,-117.38376
2018-06-10 12:09:18-07:00,1785161595.0,330.0,20.625,1.0,5192.0,20.44,0.0,,,,,,,2902.487,1785162824.28,-46.708333333333336,499.0416666666667,5.916666666666667,-17.125,-8.875,30.875,271.4166666666667,-38.666666666666664,469.5,33.19184,-117.38376
2018-06-10 12:09:24-07:00,1785167614.0,330.0,20.625,1.0,5194.0,20.447,0.0,,,,,,,2908.533,1785168803.48,-92.41666666666667,482.375,9.833333333333334,0.125,-6.083333333333333,-3.2916666666666665,243.54166666666666,-28.791666666666668,478.4583333333333,33.19184,-117.38376
2018-06-10 12:09:30-07:00,1785173633.0,330.0,20.625,1.0,5194.0,20.447,0.0,,,,,,,2914.579,1785174871.65625,-36.666666666666664,496.53333333333336,0.8333333333333334,-10.8,-21.666666666666668,31.4,242.1,-38.96666666666667,478.03333333333336,33.19184,-117.38376
2018-06-10 12:09:36-07:00,1785179653.0,330.0,20.625,1.0,5187.0,20.42,0.0,,,,,,,2920.625,1785180938.451613,-46.266666666666666,492.6666666666667,2.8,0.2,-6.166666666666667,5.266666666666667,219.96666666666667,-35.3,483.7,33.19184,-117.38376
2018-06-10 12:09:42-07:00,1785185674.0,330.0,20.625,1.0,5185.0,20.412,1.0,,,,,,,2926.673,1785186866.72,-58.5,495.125,35.416666666666664,-29.875,-36.458333333333336,12.25,251.20833333333334,-39.625,471.875,33.19184,-117.38376
2018-06-10 12:09:48-07:00,1785191694.0,330.0,20.625,1.0,5182.0,20.4,1.0,,,,,,,2932.72,1785192842.24,-80.625,499.375,23.791666666666668,-9.666666666666666,-15.333333333333334,14.416666666666666,287.5416666666667,-39.791666666666664,460.9583333333333,33.19184,-117.38376
2018-06-10 12:09:54-07:00,1785197714.0,330.0,20.625,1.0,5181.0,20.396,1.0,,,,,,,2938.767,1785198821.96,-57.75,493.5,-19.125,-8.583333333333334,28.666666666666668,14.208333333333334,287.8333333333333,-28.333333333333332,473.4166666666667,33.19184,-117.38376
2018-06-10 12:10:00-07:00,1785203733.0,329.0,20.561999999999998,1.0,5186.0,20.416,1.0,,,,,,,2944.812,1785204800.84,-108.58333333333333,466.8333333333333,5.416666666666667,-23.0,79.20833333333333,-6.208333333333333,161.79166666666666,-45.291666666666664,424.375,33.19184,-117.38376
2018-06-10 12:10:06-07:00,1785209753.0,329.0,20.561999999999998,0.0,5204.0,20.487,0.0,,,,,,,2950.859,1785210780.04,-23.208333333333332,500.0,20.5,-7.541666666666667,-8.791666666666666,50.75,93.91666666666667,-34.25,381.8333333333333,33.19184,-117.38376
2018-06-10 12:10:12-07:00,1785215773.0,330.0,20.625,0.0,5202.0,20.479,0.0,,,,,,,2956.906,1785216759.44,-28.666666666666668,493.5833333333333,9.125,-19.708333333333332,-194.125,-17.25,250.875,-26.125,447.7916666666667,33.19184,-117.38376
2018-06-10 12:10:18-07:00,1785221793.0,330.0,20.625,0.0,5215.0,20.53,0.0,,,,,,,2962.953,1785222743.9615386,-67.24,501.32,29.84,-4.72,63.68,44.08,319.8,-31.16,440.44,33.19184,-117.38376
2018-06-10 12:10:24-07:00,1785227813.0,330.0,20.625,1.0,5213.0,20.522,0.0,,,,,,,2968.999,1785228573.2,-91.20833333333333,477.25,17.333333333333332,-37.5,37.958333333333336,18.041666666666668,203.95833333333334,-45.041666666666664,461.125,33.19184,-117.38376
